model,prefix_cache,prompt_kind,batch_size,prompt_words,repeated_prefix_tokens,max_tokens,timestamp,status,sample_count,latency_sec_mean,latency_sec_median,latency_sec_p95,latency_sec_std,latency_sec_min,latency_sec_max,ttft_sec_mean,ttft_sec_median,ttft_sec_p95,ttft_sec_std,ttft_sec_min,ttft_sec_max,tpot_sec_mean,tpot_sec_median,tpot_sec_p95,tpot_sec_std,tpot_sec_min,tpot_sec_max,tokens_per_sec_mean,tokens_per_sec_median,tokens_per_sec_p95,tokens_per_sec_std,tokens_per_sec_min,tokens_per_sec_max,requests_per_sec_mean,requests_per_sec_median,requests_per_sec_p95,requests_per_sec_std,requests_per_sec_min,requests_per_sec_max,decode_loop_sec_mean,decode_loop_sec_median,decode_loop_sec_p95,decode_loop_sec_std,decode_loop_sec_min,decode_loop_sec_max,decode_tokens_per_sec_mean,decode_tokens_per_sec_median,decode_tokens_per_sec_p95,decode_tokens_per_sec_std,decode_tokens_per_sec_min,decode_tokens_per_sec_max,prefill_probe_latency_sec_mean,prefill_probe_latency_sec_median,prefill_probe_latency_sec_p95,prefill_probe_latency_sec_std,prefill_probe_latency_sec_min,prefill_probe_latency_sec_max,prefill_probe_ttft_sec_mean,prefill_probe_ttft_sec_median,prefill_probe_ttft_sec_p95,prefill_probe_ttft_sec_std,prefill_probe_ttft_sec_min,prefill_probe_ttft_sec_max,gpu_memory_peak_used_bytes_mean,gpu_memory_peak_used_bytes_median,gpu_memory_peak_used_bytes_p95,gpu_memory_peak_used_bytes_std,gpu_memory_peak_used_bytes_min,gpu_memory_peak_used_bytes_max,gpu_memory_peak_delta_bytes_mean,gpu_memory_peak_delta_bytes_median,gpu_memory_peak_delta_bytes_p95,gpu_memory_peak_delta_bytes_std,gpu_memory_peak_delta_bytes_min,gpu_memory_peak_delta_bytes_max,model_memory_delta_load_bytes_mean,model_memory_delta_load_bytes_median,model_memory_delta_load_bytes_p95,model_memory_delta_load_bytes_std,model_memory_delta_load_bytes_min,model_memory_delta_load_bytes_max
soumil1/mamba2-10m-slimpajama-500m,off,normal,1,128,,32,1778100974,ok,5,0.31217666460433974,0.31244512100238353,0.3164949319907464,0.003443990948652108,0.30713457602541894,0.3164949319907464,0.02698173522949219,0.026761770248413086,0.0278470516204834,0.0004949042994160372,0.02662825584411621,0.0278470516204834,0.00916853918686449,0.00914943874100103,0.00930922593538379,0.00010734470783247271,0.009017885290837337,0.00930922593538379,102.51607380463761,102.41798590849457,104.18885562839279,1.1346427949233582,101.10746418187703,104.18885562839279,3.2036273063949254,3.2005620596404554,3.2559017383872746,0.03545758734135494,3.1596082556836573,3.2559017383872746,0.2842247147927992,0.28363260097103193,0.2885860039968975,0.00332768594280666,0.2795544440159574,0.2885860039968975,109.08060699194,109.29632169880959,110.89074297896144,1.2789009433370977,107.42031689219853,110.89074297896144,0.021749635005835443,0.021348831010982394,0.023781254014465958,0.0016021228499424759,0.02000237302854657,0.023781254014465958,0.02013230323791504,0.01959967613220215,0.022072792053222656,0.0014391850239393515,0.018573760986328125,0.022072792053222656,9454682112.0,9454682112.0,9454682112.0,0.0,9454682112.0,9454682112.0,0.0,0.0,0.0,0.0,0.0,0.0,4636803072.0,4636803072.0,4636803072.0,0.0,4636803072.0,4636803072.0
soumil1/mamba2-10m-slimpajama-500m,off,repeated_prefix,1,,512,32,1778100974,ok,5,0.3150428478023969,0.3122933499980718,0.3267610060283914,0.008170780770826709,0.30596456298371777,0.3267610060283914,0.02689967155456543,0.026950359344482422,0.027325868606567383,0.00037944946424658775,0.026363134384155273,0.027325868606567383,0.009279788586671554,0.009189559644343512,0.009645086224941958,0.00026299834926185866,0.008986928289936434,0.009645086224941958,101.62764725077871,102.46775988088629,104.58727536267955,2.610901328603061,97.93090182008928,104.58727536267955,3.1758639765868346,3.2021174962776966,3.268352355083736,0.08159066651884565,3.06034068187779,3.268352355083736,0.28767344618681817,0.28487634897464886,0.2989976729732007,0.008152948827117604,0.2785947769880295,0.2989976729732007,107.82974236379843,108.8191424510242,111.27272497765452,3.029170947708793,103.67973667399929,111.27272497765452,0.020518761582206935,0.020198565965984017,0.021929906972218305,0.0010788326720615011,0.01945323299150914,0.021929906972218305,0.019875192642211915,0.01967453956604004,0.021181821823120117,0.0010695728585773205,0.01878666877746582,0.021181821823120117,9454682112.0,9454682112.0,9454682112.0,0.0,9454682112.0,9454682112.0,0.0,0.0,0.0,0.0,0.0,0.0,4636803072.0,4636803072.0,4636803072.0,0.0,4636803072.0,4636803072.0
soumil1/mamba2-10m-slimpajama-500m,on,normal,1,128,,32,1778100974,ok,5,0.32717648380203174,0.3173349180142395,0.35412298201117665,0.01751781870617537,0.31289257702883333,0.35412298201117665,0.019384241104125975,0.019446849822998047,0.019841670989990234,0.0004163814993790645,0.01876664161682129,0.019841670989990234,0.009890893968047515,0.00959229483945115,0.010748575839604582,0.0005618011247243551,0.009427097515248123,0.010748575839604582,98.02351260323364,100.83983256631119,102.27152175953081,5.067599524243098,90.36408712663001,102.27152175953081,3.0632347688510513,3.1512447676972246,3.195985054985338,0.15836248513259682,2.823877722707188,3.195985054985338,0.30661771300947294,0.29736114002298564,0.33320585102774203,0.017415834866455,0.2922400229726918,0.33320585102774203,101.35538273002189,104.2503401675274,106.07718848590693,5.554792435938477,93.03558117116918,106.07718848590693,0.022267093404661865,0.021932138013653457,0.023503375006839633,0.0008803286544562305,0.021227228979114443,0.023503375006839633,0.02067408561706543,0.020309925079345703,0.021839141845703125,0.0007578319639861954,0.019925832748413086,0.021839141845703125,9458876416.0,9458876416.0,9458876416.0,0.0,9458876416.0,9458876416.0,0.0,0.0,0.0,0.0,0.0,0.0,4636803072.0,4636803072.0,4636803072.0,0.0,4636803072.0,4636803072.0
soumil1/mamba2-10m-slimpajama-500m,on,repeated_prefix,1,,512,32,1778100974,ok,5,0.31932355019962416,0.3203741139732301,0.3306344439624809,0.008457426885418147,0.3083899010089226,0.3306344439624809,0.01994614601135254,0.019661426544189453,0.020620107650756836,0.0005135133113379208,0.01944136619567871,0.020620107650756836,0.009642435245275978,0.009692999226371608,0.010012239259066842,0.0002702645281385892,0.00930702470941469,0.010012239259066842,100.26809775387146,99.8832259046805,103.76474681988418,2.65588452671299,96.78362488946021,103.76474681988418,3.133378054808483,3.1213508095212656,3.2426483381213806,0.08299639145978094,3.0244882777956317,3.2426483381213806,0.2989154926035553,0.30048297601751983,0.3103794170310721,0.008378200372296262,0.2885177659918554,0.3103794170310721,103.77330941323594,103.16724232055172,107.44572312013223,2.9026632742519625,99.87775702567477,107.44572312013223,0.021898369607515632,0.022460901003796607,0.02299197402317077,0.0012139508931384418,0.019936477998271585,0.02299197402317077,0.021329545974731447,0.021837949752807617,0.0224306583404541,0.0011624520091892978,0.01946711540222168,0.0224306583404541,9460973568.0,9460973568.0,9460973568.0,0.0,9460973568.0,9460973568.0,0.0,0.0,0.0,0.0,0.0,0.0,4636803072.0,4636803072.0,4636803072.0,0.0,4636803072.0,4636803072.0
soumil1/simamba-midpoint-10m-slimpajama-500m,off,normal,1,128,,32,1778101166,ok,5,0.6991811051848345,0.6994220159831457,0.7029893660219386,0.004293263088458144,0.6922414809814654,0.7029893660219386,0.047786378860473634,0.04727625846862793,0.05067586898803711,0.0016905642321134117,0.04630589485168457,0.05067586898803711,0.020967492690655374,0.020970865194084903,0.021118982548585102,0.00014623923546491695,0.020768935354651824,0.021118982548585102,45.76921434299648,45.75206280148196,46.22664327285061,0.28238368719575135,45.51989197373059,46.22664327285061,1.43028794821864,1.4297519625463113,1.4445826022765815,0.00882449022486723,1.4224966241790808,1.4445826022765815,0.6499922734103165,0.650096821016632,0.6546884590061381,0.004533416299412425,0.6438369959942065,0.6546884590061381,47.694733715707194,47.68520472307755,48.148833001014665,0.33319546272537104,47.3507659613553,48.148833001014665,0.027788216597400606,0.027779205003753304,0.030157743953168392,0.0015801531884353595,0.02572846703696996,0.030157743953168392,0.02629570960998535,0.02609848976135254,0.028778791427612305,0.001634238036526718,0.024219751358032227,0.028778791427612305,4618977280.0,4618977280.0,4618977280.0,0.0,4618977280.0,4618977280.0,0.0,0.0,0.0,0.0,0.0,0.0,4617928704.0,4617928704.0,4617928704.0,0.0,4617928704.0,4617928704.0
soumil1/simamba-midpoint-10m-slimpajama-500m,off,repeated_prefix,1,,512,32,1778101166,ok,5,0.6892107966006733,0.6892360139754601,0.7029047789983451,0.009773436597552296,0.678874121978879,0.7029047789983451,0.04653058052062988,0.04612922668457031,0.04836320877075195,0.0013888524474491215,0.04486584663391113,0.04836320877075195,0.020716193167778153,0.0206822452901472,0.02116641035536304,0.00032184877891754506,0.02038952358059525,0.02116641035536304,46.437358811342094,46.42821813013872,47.13686818216291,0.6560294010301024,45.525369802721656,47.13686818216291,1.4511674628544404,1.450881816566835,1.4730271306925908,0.0205009187821907,1.4226678063350517,1.4730271306925908,0.6422019882011227,0.6411496039945632,0.6561587210162543,0.009977312146443875,0.6320752309984528,0.6561587210162543,48.28069467368295,48.3506498434379,49.0447947960737,0.74649885688504,47.244666583090456,49.0447947960737,0.026671137008816004,0.026882592006586492,0.02776192600140348,0.0010609287235582119,0.025135500996839255,0.02776192600140348,0.026070690155029295,0.026276111602783203,0.027133941650390625,0.0010522571049720046,0.024559736251831055,0.027133941650390625,4621074432.0,4621074432.0,4621074432.0,0.0,4621074432.0,4621074432.0,0.0,0.0,0.0,0.0,0.0,0.0,4617928704.0,4617928704.0,4617928704.0,0.0,4617928704.0,4617928704.0
soumil1/simamba-midpoint-10m-slimpajama-500m,on,normal,1,128,,32,1778101231,ok,5,0.700993767415639,0.7029521740041673,0.7051970009924844,0.005722181944282098,0.6912360970163718,0.7051970009924844,0.04776759147644043,0.04814863204956055,0.04947519302368164,0.0012951106840861388,0.04614973068237305,0.04947519302368164,0.02103169958723048,0.021057348193285325,0.021210631226084284,0.0001962450519680577,0.020702531225153156,0.021210631226084284,45.65193346537789,45.52230035468998,46.29387865900482,0.3759159978543885,45.377390934680164,46.29387865900482,1.426622920793059,1.422571886084062,1.4466837080939006,0.01174737493294964,1.4180434667087551,1.4466837080939006,0.6519826872041449,0.6527777939918451,0.6575295680086128,0.006083596611009818,0.6417784679797478,0.6575295680086128,47.55061633403153,47.4893605225598,48.30327215181399,0.4476509621837393,47.146168793422135,48.30327215181399,0.027525884995702653,0.027736040006857365,0.02822195499902591,0.0006725337073787923,0.0266407229937613,0.02822195499902591,0.02601337432861328,0.02626490592956543,0.026557207107543945,0.0006120769599511337,0.02517223358154297,0.026557207107543945,4618977280.0,4618977280.0,4618977280.0,0.0,4618977280.0,4618977280.0,0.0,0.0,0.0,0.0,0.0,0.0,4617928704.0,4617928704.0,4617928704.0,0.0,4617928704.0,4617928704.0
soumil1/simamba-midpoint-10m-slimpajama-500m,on,repeated_prefix,1,,512,32,1778101231,ok,5,0.6890480877947993,0.6898239550064318,0.7014739399892278,0.012062796411986591,0.6745802880031988,0.7014739399892278,0.04640936851501465,0.046803951263427734,0.04718756675720215,0.0007675846257189773,0.04532885551452637,0.04718756675720215,0.02071998539989093,0.020741464934431977,0.021096173677623512,0.0003692599992928737,0.020289223644912483,0.021096173677623512,46.452290643547876,46.388647085620036,47.43690346292517,0.8147335868785186,45.61823066512123,47.43690346292517,1.4516340826108711,1.4496452214256261,1.4824032332164117,0.025460424589953706,1.4255697082850385,1.4824032332164117,0.6423195473966189,0.6429854129673913,0.6539813840063289,0.011447059978079096,0.628965932992287,0.6539813840063289,48.27486633238806,48.21260229984743,49.28724812251501,0.8616410945667426,47.401960909180865,49.28724812251501,0.02641394219826907,0.026522412954363972,0.02769849100150168,0.0011768132678854682,0.02503088302910328,0.02769849100150168,0.02574605941772461,0.025850296020507812,0.027093172073364258,0.0011396212481372366,0.024478435516357422,0.027093172073364258,4621074432.0,4621074432.0,4621074432.0,0.0,4621074432.0,4621074432.0,0.0,0.0,0.0,0.0,0.0,0.0,4617928704.0,4617928704.0,4617928704.0,0.0,4617928704.0,4617928704.0
