timestamp,model,prefix_cache,prompt_kind,batch_size,prompt_words,repeated_prefix_tokens,max_tokens,repeat,warmup,repeats,prefill_probe_tokens,latency_sec,status,error,gpu_memory_total_bytes,model_memory_before_load_bytes,model_memory_after_load_bytes,model_memory_delta_load_bytes,gpu_memory_start_used_bytes,gpu_memory_peak_used_bytes,gpu_memory_end_used_bytes,gpu_memory_peak_delta_bytes,peak_memory_bytes,generated_tokens,ttft_sec,decode_loop_sec,decode_tokens,decode_tokens_per_sec,tpot_sec,tokens_per_sec,requests_per_sec,prefill_probe_latency_sec,prefill_probe_generated_tokens,prefill_probe_ttft_sec,prefill_probe_decode_loop_sec,prefill_probe_decode_tokens,prefill_probe_decode_tokens_per_sec,prefill_probe_tpot_sec,prefill_probe_tokens_per_sec,prefill_probe_requests_per_sec,prefill_probe_gpu_memory_total_bytes,prefill_probe_gpu_memory_start_used_bytes,prefill_probe_gpu_memory_peak_used_bytes,prefill_probe_gpu_memory_end_used_bytes,prefill_probe_gpu_memory_peak_delta_bytes
1778101223,soumil1/simamba-midpoint-10m-slimpajama-500m,on,normal,1,128,,32,0,1,5,1,0.7029521740041673,ok,,17179869184,1048576,4618977280,4617928704,4618977280,4618977280,4618977280,0,4618977280,32,0.04947519302368164,0.6523238340159878,31,47.5224089378286,0.021042704323096382,45.52230035468998,1.422571886084062,0.0266407229937613,1,0.02517223358154297,0.0,0,0.0,0.0,37.536518818733974,37.536518818733974,17179869184,4618977280,4618977280,4618977280,0
1778101224,soumil1/simamba-midpoint-10m-slimpajama-500m,on,normal,1,128,,32,1,1,5,1,0.6912360970163718,ok,,17179869184,1048576,4618977280,4617928704,4618977280,4618977280,4618977280,0,4618977280,32,0.04821038246154785,0.6417784679797478,31,48.30327215181399,0.020702531225153156,46.29387865900482,1.4466837080939006,0.028013748000375926,1,0.026500463485717773,0.0,0,0.0,0.0,35.69675860533123,35.69675860533123,17179869184,4618977280,4618977280,4618977280,0
1778101225,soumil1/simamba-midpoint-10m-slimpajama-500m,on,normal,1,128,,32,2,1,5,1,0.7051970009924844,ok,,17179869184,1048576,4618977280,4617928704,4618977280,4618977280,4618977280,0,4618977280,32,0.04614973068237305,0.6575295680086128,31,47.146168793422135,0.021210631226084284,45.377390934680164,1.4180434667087551,0.027016958978492767,1,0.02557206153869629,0.0,0,0.0,0.0,37.0137882948286,37.0137882948286,17179869184,4618977280,4618977280,4618977280,0
1778101226,soumil1/simamba-midpoint-10m-slimpajama-500m,on,normal,1,128,,32,3,1,5,1,0.7047657490475103,ok,,17179869184,1048576,4618977280,4617928704,4618977280,4618977280,4618977280,0,4618977280,32,0.04814863204956055,0.6555037720245309,31,47.29187126453314,0.021145282968533255,45.405157732548645,1.4189111791421452,0.027736040006857365,1,0.02626490592956543,0.0,0,0.0,0.0,36.054173550108935,36.054173550108935,17179869184,4618977280,4618977280,4618977280,0
1778101227,soumil1/simamba-midpoint-10m-slimpajama-500m,on,normal,1,128,,32,4,1,5,1,0.7008178160176612,ok,,17179869184,1048576,4618977280,4617928704,4618977280,4618977280,4618977280,0,4618977280,32,0.04685401916503906,0.6527777939918451,31,47.4893605225598,0.021057348193285325,45.66093964596581,1.4269043639364316,0.02822195499902591,1,0.026557207107543945,0.0,0,0.0,0.0,35.43340636871242,35.43340636871242,17179869184,4618977280,4618977280,4618977280,0
1778101228,soumil1/simamba-midpoint-10m-slimpajama-500m,on,repeated_prefix,1,,512,32,0,1,5,1,0.6792666729888879,ok,,17179869184,1048576,4618977280,4617928704,4621074432,4621074432,4621074432,0,4621074432,32,0.04590296745300293,0.6326135590206832,31,49.00305970044259,0.0204068890006672,47.10962759175951,1.4721758622424848,0.02503088302910328,1,0.024478435516357422,0.0,0,0.0,0.0,39.95064811885802,39.95064811885802,17179869184,4621074432,4621074432,4621074432,0
1778101229,soumil1/simamba-midpoint-10m-slimpajama-500m,on,repeated_prefix,1,,512,32,1,1,5,1,0.6898239550064318,ok,,17179869184,1048576,4618977280,4617928704,4621074432,4621074432,4621074432,0,4621074432,32,0.04718756675720215,0.6429854129673913,31,48.21260229984743,0.020741464934431977,46.388647085620036,1.4496452214256261,0.02769849100150168,1,0.027093172073364258,0.0,0,0.0,0.0,36.103049799564346,36.103049799564346,17179869184,4621074432,4621074432,4621074432,0
1778101230,soumil1/simamba-midpoint-10m-slimpajama-500m,on,repeated_prefix,1,,512,32,2,1,5,1,0.7014739399892278,ok,,17179869184,1048576,4618977280,4617928704,4621074432,4621074432,4621074432,0,4621074432,32,0.046803951263427734,0.6539813840063289,31,47.401960909180865,0.021096173677623512,45.61823066512123,1.4255697082850385,0.02740012900903821,1,0.02658843994140625,0.0,0,0.0,0.0,36.496178527850724,36.496178527850724,17179869184,4621074432,4621074432,4621074432,0
1778101230,soumil1/simamba-midpoint-10m-slimpajama-500m,on,repeated_prefix,1,,512,32,3,1,5,1,0.7000955829862505,ok,,17179869184,1048576,4618977280,4617928704,4621074432,4621074432,4621074432,0,4621074432,32,0.04682350158691406,0.653051447996404,31,47.469460629954376,0.021066175741819484,45.70804441231343,1.4283763878847946,0.025417794997338206,1,0.024719953536987305,0.0,0,0.0,0.0,39.342515749486594,39.342515749486594,17179869184,4621074432,4621074432,4621074432,0
1778101231,soumil1/simamba-midpoint-10m-slimpajama-500m,on,repeated_prefix,1,,512,32,4,1,5,1,0.6745802880031988,ok,,17179869184,1048576,4618977280,4617928704,4621074432,4621074432,4621074432,0,4621074432,32,0.04532885551452637,0.628965932992287,31,49.28724812251501,0.020289223644912483,47.43690346292517,1.4824032332164117,0.026522412954363972,1,0.025850296020507812,0.0,0,0.0,0.0,37.703960108028596,37.703960108028596,17179869184,4621074432,4621074432,4621074432,0
